viable | Meaning: able to work or succeed | Synonyms: feasible; workable; possible | Collocation: viable option/alternative | Example: The project is not a viable option without more funding.; A viable solution is to heavily punish lawbreakers.

schooling | Meaning: the education you get at school | Synonyms: education; learning; training | Collocation: primary/secondary schooling | Example: Good primary schooling is important for a chilid's future.; In Vietnam, the average class size is 20 students, which makes it difficult for educators to provide proper schooling for each student.

renowned | Meaning: famous and respected | Synonyms:well-known, famous, celebrated |  Collocation: renowned expert, renowned for | Example: He is a renowned expert in the field of biology.; For instance, after opening a branch of Apple company in Dubai, many local graduates were thrilled by the good news of being accepted to work under this renowned company.

prime | Meaning: best or most important | Synonyms: best; top; main | Collocation: prime example | Example: This is a prime example of excellent customer service.; The prime disadvantage is that these companies use the natural resources of developing nations recklessly, which affects the environment.

prone | Meaning: likely to do or experience something | Synonyms: likely; inclined; susceptible | Collocation: prone to errors | Example: Children are prone to making mistakes when they are learning.; Thus, people who have a diet based on plants and seeds are more prone to having a healthier life because they allow their bodies to focus their energy on its normal processes.

officials | Meaning: people in authority  | Synonyms: authorities; leaders; administrators | Collocation: government officials, public officials | Example: In conclusion, I do not support the argument of newspapers publishing the personal information of government officials.

output | Meaning: the amount produced | Synonyms: production; yield | Collocation: industrial output; total output | Example: The factory's output has increased this year.; The main benefits of wearing a uniform are that it brings uniformity to the workplace and helps to increase the output of companies.

intellect | Meaning: the ability to think and understand | Synonyms: intelligence | Collocation: his/her intellect | Example: Her sharp intellect makes her a great scientist.; While certain people believe television is only for entertainment as it steals time, this essay claims that it is valuable as educational programs on television can help a child's intellect

incentives | Meaning: things that encourage you to do something | Synonyms: motivation; rewards; encouragement | Collocation: provide/offer incentives | Example: The company offers financial incentives to its best workers.; Many younger people find voting a waste of time and, therefore, if they are given incentives, they are more likely to take the time to vote.

irrespective | Meaning: without considering something | Synonyms: regardless; despite | Collocation: irrespective of | Example: Irrespective of the outcome, we must try our best.; In conclusion, although adolescents tend to be happier because they enjoy support from their families, I believe that adult life brings more joy because of life fulfillment irrespective of more responsibilities.

fundamental | Meaning: important | Synonyms: important; essential; primary | Collocation: fundamental principle; fundamental  change | Example: Learning to read is a fundamental skill for children.; It is the fundamental right of every human being to have their privacy.

disclose | Meaning: to make something know | Synonyms: reveal; show; tell | Collocation: disclose information | Example: The company must disclose any risks to its investors.; On the other hand, publishing details of private affairs disclose the corruption of politicians and make them accountable.

detrimental | Meaning: causing harm or damage | Synonyms: harmful; damaging; bad | Collocation: detrimental effect | Example: Smoking has a detrimental effect on health.; 

adolescents | Meaning: young people between 13-19 years old. | Synonyms: teenagers | Collocation: | Example: Adolescents often experience many changes in their lives.; Although adolescents are free of responsibilities, adults enjoy their life more because they are free to make their own choices.

accountable | Meaning: responsible for actions | Synonyms: responsible; answerable; liable | Collocation: accountable for; accountable to | Example: Managers should be accountable for their decisions.; It is argued that newspapers ought not to publish the details of private lives of politicians.This essay strongly disagrees with this view because politicians build a public image through such news and they should be held accountable for any wrongdoings.

addressed | Meaning: to deal with a problem or issue | Synonyms: tackled; deal with; handled; fixed | Collocation: address the issue/problem | Example: The teacher addressed the issue of bullying in the classroom.; In conclusion, insecurity among some section of the population is still prevailing due to the change in the nature of crimes that are being committed nowadays. However, this can easily be addressed by making people aware and also by making new laws.

affluent | Meaning: having a lot of money | Synonyms: wealthy; rich; prosperous | Collocation: affluent society/country | Example: The affluent society had many beautiful homes and parks.; On the one hand, what makes that prioritizing economic expansion is beneficial for the public is the fact that fever residents remain unemployed. This is because governments boost establishing various businesses, which will require many workers to operate. In addition, not only does a country become more powerful economically, but also many residents have an opportunity to become affluent. When companies generate more profit, it reflects how much money employees can make. In Poland, for example, 30 years after communism collapsed, average salaries offered for a middle-management position have tripled.

allocate | Meaning: to distribute resources or duties | Synonyms: assign; distribute; allot | Collocation: allocate resources | Example: The manager will allocate resources for the new project.; By allocating a certain per cent of high-level positions to women, companies would reach a higher competence level. This is because a lot of women with the right competence are overlooked, since the tradition of male executives are very strong. Allocated recruitment would result in women with high competence rather than mediocre men in those high-level positions. For example, an audit of the relative competence level in one of the biggest investment banks in Sweden showed a significant increase after they decided to allocate at least 40 per cent of their leading positions to women. 

awareness | Meaning: knowledge about something | Synonyms: knowledge; understanding | Collocation: raise awareness; awareness campaigns | Example: We need to raise awareness about the dangers of smoking.; In conclusion, neglecting to vote by the young generation would delay the necessary government change, and laws made that are not in their favor. However, encouraging youth participation in politics and awareness campaigns can be possible solutions to tackle these problems.

bullying | Meaning: repeated, aggressive behavior intended to hurt someone | Synonyms: harassment; intimidation; abuse | Collocation: school bullying; cyber bullying | Example: School bullying can seriously affect a child's self-esteem.; Although grievous offences are reducing, some people feel more insecure than they used to. The main reason behind this is the increase of cyber bullying and hate-crimes, and the solution would be to raise the general awareness among the masses and by promulgating new laws.

burden | Meaning: a heavy load or responsibility | Synonyms: load; responsibility | Collocation: heavy burden; financial burden | Example: The financial burden of college can be overwhelming for some students.; Many adolescents buy used clothes because they want to be like famous people. That is to say that they need different outfits for any occasion and that is expensive. That is because they cannot cope with the financial burden of buying new clothes from stores, such as Prada or Gucci. As a result, many youngsters buy second-hand clothes. For example, in the United States, many teenagers buy used Gucci products in order to wear them and be like their idols. 

